CustomerID,Age,Gender,Income,Tenure,ProductType,SupportCalls,ChurnStatus
CUST0000,59,0,151203,4,0,1,0
CUST0001,69,0,58332,6,1,9,0
CUST0002,46,1,149481,2,0,12,0
CUST0003,32,1,115937,1,1,13,0
CUST0004,60,0,103929,4,1,5,0
CUST0005,25,1,94206,7,1,13,0
CUST0006,38,1,116137,6,0,5,0
CUST0007,56,1,27251,1,0,5,1
CUST0008,36,0,70717,1,0,7,0
CUST0009,40,1,124108,8,0,100,0
CUST0010,28,0,52027,4,0,2,0
CUST0011,28,0,122382,5,0,5,0
CUST0012,,1,111551,,0,3,0
CUST0013,53,1,34583,8,0,1,0
CUST0014,57,1,,7,0,150,0
CUST0015,41,0,48104,2,1,9,1
CUST0016,20,1,37224,4,0,4,0
CUST0017,39,1,85624,1,0,10,0
CUST0018,19,1,81058,9,0,8,0
CUST0019,41,0,132845,3,1,10,0
CUST0020,61,1,123416,3,0,5,0
CUST0021,47,0,54299,9,0,13,0
CUST0022,55,0,,3,0,2,0
CUST0023,19,1,,8,0,10,0
CUST0024,38,0,102928,2,0,4,0
CUST0025,50,1,98474,3,1,14,0
CUST0026,,0,29141,2,1,9,1
CUST0027,39,0,48350,1,1,,1
CUST0028,61,0,100082,2,1,8,0
CUST0029,42,1,95871,8,0,7,0
CUST0030,66,1,30077,9,1,14,0
CUST0031,44,1,75403,2,0,2,0
CUST0032,59,1,96147,7,0,,0
CUST0033,45,1,84180,5,0,2,0
CUST0034,33,1,65857,3,0,7,0
CUST0035,32,1,126196,9,0,,0
CUST0036,64,1,89338,6,0,8,0
CUST0037,68,0,84902,1,0,6,0
CUST0038,61,1,30577,5,1,3,0
CUST0039,69,1,45002,,0,9,0
CUST0040,,1,75711,4,0,14,0
CUST0041,54,1,64451,8,1,8,0
CUST0042,68,0,124811,5,0,2,0
CUST0043,24,1,74103,9,1,14,0
CUST0044,38,0,53647,9,0,2,0
CUST0045,26,0,59831,9,1,1,0
CUST0046,56,0,143330,,0,9,0
CUST0047,35,0,125304,2,0,14,0
CUST0048,21,0,121498,3,0,2,0
CUST0049,42,0,141953,4,0,1,0
CUST0050,31,0,120119,9,1,14,0
CUST0051,67,0,91830,6,0,3,0
CUST0052,,0,105632,1,0,7,0
CUST0053,43,0,64103,9,0,,0
CUST0054,23,0,137394,6,1,1,0
CUST0055,37,1,117864,4,0,2,0
CUST0056,45,1,49398,4,1,1,0
CUST0057,64,1,149633,3,0,1,0
CUST0058,24,1,86554,,0,1,0
CUST0059,61,1,75755,3,0,1,0
CUST0060,25,1,42706,2,1,5,1
CUST0061,64,0,47340,8,1,1,0
CUST0062,52,1,93497,4,0,10,0
CUST0063,31,0,88884,8,0,8,0
